clave_ent,nivel_ent,año,trimestre,itlp_is,TLP,ingreso_INPC,ingreso_canasta_ali,desagregacion,año_base_itlp
15,Estado de México,2007,1,0.9462,32.9,2595.28,3006.63,Estatal,1T20
16,Michoacán,2007,1,1.2733,40.7,2224.95,2579.54,Estatal,1T20
17,Morelos,2007,1,0.7958,37,2254.85,2613.56,Estatal,1T20
18,Nayarit,2007,1,1.0453,33.2,2829.83,3282.52,Estatal,1T20
19,Nuevo León,2007,1,0.7926,16,4362.63,5051.83,Estatal,1T20
20,Oaxaca,2007,1,1.0421,61.2,1486.19,1724.84,Estatal,1T20
21,Puebla,2007,1,1.1002,47.2,1970.97,2284.84,Estatal,1T20
22,Querétaro,2007,1,0.9052,31.5,2866.05,3322.73,Estatal,1T20
23,Quintana Roo,2007,1,0.6866,19.1,4487.32,5197.82,Estatal,1T20
24,San Luis Potosí,2007,1,1.0649,46.8,2228.5,2583.4,Estatal,1T20
25,Sinaloa,2007,1,0.9195,23.7,3379.69,3918.1,Estatal,1T20
26,Sonora,2007,1,0.806,21.8,3433.19,3977.86,Estatal,1T20
27,Tabasco,2007,1,0.9351,38.8,2660.89,3087.21,Estatal,1T20
28,Tamaulipas,2007,1,0.8853,29.3,3429.22,3971.77,Estatal,1T20
29,Tlaxcala,2007,1,0.9476,44.2,1993.04,2310.78,Estatal,1T20
30,Veracruz,2007,1,0.9584,47.5,2092.96,2428.11,Estatal,1T20
31,Yucatán,2007,1,1.1928,41.4,2586.44,2996.35,Estatal,1T20
32,Zacatecas,2007,1,0.981,46.9,2048.11,2375.62,Estatal,1T20
1,Aguascalientes,2007,2,1.0141,31,2786.9,3270.84,Estatal,1T20
2,Baja California,2007,2,0.6179,12.8,4456.3,5223.68,Estatal,1T20
3,Baja California Sur,2007,2,0.8613,14.2,4825.62,5661.94,Estatal,1T20
4,Campeche,2007,2,0.9083,37.9,2826.23,3314.48,Estatal,1T20
5,Coahuila,2007,2,0.957,24.3,3415.15,4002.6,Estatal,1T20
6,Colima,2007,2,0.8013,21.1,3525.12,4132.92,Estatal,1T20
7,Chiapas,2007,2,0.9363,63.6,1453.89,1709.11,Estatal,1T20
8,Chihuahua,2007,2,0.8785,21.5,3630.26,4256.35,Estatal,1T20
9,Ciudad de México,2007,2,0.7232,21,4217.31,4939.67,Estatal,1T20
10,Durango,2007,2,1.1173,38.6,2365.66,2777.54,Estatal,1T20
11,Guanajuato,2007,2,1.1182,37.2,2501.64,2936.87,Estatal,1T20
12,Guerrero,2007,2,1.0119,57,1638.45,1924.26,Estatal,1T20
13,Hidalgo,2007,2,0.9465,44.2,2135.96,2512.77,Estatal,1T20
14,Jalisco,2007,2,1.0318,24.7,3205.63,3759.02,Estatal,1T20
15,Estado de México,2007,2,0.8717,30.3,2735.38,3207.36,Estatal,1T20
16,Michoacán,2007,2,1.2653,40.5,2253.65,2645.99,Estatal,1T20
17,Morelos,2007,2,0.7526,35,2515.02,2950.65,Estatal,1T20
18,Nayarit,2007,2,1.0116,32.1,2801.59,3291.51,Estatal,1T20
19,Nuevo León,2007,2,0.6787,13.7,4322.63,5064.86,Estatal,1T20
20,Oaxaca,2007,2,0.9941,58.4,1607.39,1889.96,Estatal,1T20
21,Puebla,2007,2,1.0822,46.4,2056.42,2413.66,Estatal,1T20
22,Querétaro,2007,2,0.865,30.1,2865.22,3364.56,Estatal,1T20
23,Quintana Roo,2007,2,0.6954,19.3,4454.74,5222.1,Estatal,1T20
24,San Luis Potosí,2007,2,1.0403,45.7,2296.36,2695.8,Estatal,1T20
25,Sinaloa,2007,2,0.897,23.1,3437.67,4035.06,Estatal,1T20
26,Sonora,2007,2,0.7837,21.2,3484.78,4086.82,Estatal,1T20
27,Tabasco,2007,2,0.9065,37.6,2696.71,3170.53,Estatal,1T20
28,Tamaulipas,2007,2,0.7803,25.8,3516.15,4121.67,Estatal,1T20
29,Tlaxcala,2007,2,0.9498,44.3,1982.36,2327.58,Estatal,1T20
30,Veracruz,2007,2,0.8983,44.6,2198.59,2583.2,Estatal,1T20
31,Yucatán,2007,2,1.1503,39.9,2692.04,3156.26,Estatal,1T20
32,Zacatecas,2007,2,0.9277,44.4,2066.37,2427.92,Estatal,1T20
1,Aguascalientes,2007,3,0.9599,29.4,2685.04,3154.83,Estatal,1T20
2,Baja California,2007,3,0.6593,13.7,4238.88,4974.5,Estatal,1T20
3,Baja California Sur,2007,3,0.6494,10.7,5218.96,6128.63,Estatal,1T20
4,Campeche,2007,3,0.9125,38.1,2824.39,3316.2,Estatal,1T20
5,Coahuila,2007,3,0.9856,25,3428.12,4022.61,Estatal,1T20
6,Colima,2007,3,0.8405,22.1,3555.25,4172.29,Estatal,1T20
7,Chiapas,2007,3,0.9756,66.3,1397.82,1644.98,Estatal,1T20
8,Chihuahua,2007,3,0.8641,21.2,4008.63,4705.28,Estatal,1T20
9,Ciudad de México,2007,3,0.7237,21,4211.51,4938.31,Estatal,1T20
10,Durango,2007,3,1.1349,39.2,2320.68,2727.62,Estatal,1T20
11,Guanajuato,2007,3,1.0994,36.6,2353.54,2767.04,Estatal,1T20
12,Guerrero,2007,3,1.015,57.2,1619.34,1904.14,Estatal,1T20
